PROVINCIA,lat,lon
ABANCAY,-13.6373482,-72.8788744
ACOMAYO,-13.916667,-71.666667
ALTO AMAZONAS,-5.5356944,-76.0814574
ANDAHUAYLAS,-13.7776943,-73.4285412
ANTA,-13.5,-72.333333
AREQUIPA,-16.409,-71.5375
ASCOPE,-7.724625,-79.1836658
AYABACA,-4.755769,-79.7739968
AYACUCHO,-13.1631,-74.2236
AZANGARO,-14.8001586,-70.1517473
BAGUA,-5.0414506,-78.3903932
BARRANCA,-10.7065265,-77.6747882
BOLOGNESI,-10.0896026,-77.0596571
BONGARA,-5.6745697,-77.901939
CAJABAMBA,-7.5537776,-78.0533705
CAJAMARCA,-7.1617,-78.5128
CALLAO,-12.0595,-77.1181
CAMANA,-16.416667,-72.833333
CANCHIS,-14.081944,-71.185556
CANETE,-12.8209798,-76.3594255
CARABAYA,-13.833333,-70.25
CARHUAZ,-9.3055547,-77.5618798
CASMA,-9.472866,-78.2136837
CASTILLA,-15.5859786,-72.3617354
CAYLLOMA,-15.7340917,-71.7536211
CELENDIN,-6.800183,-78.203645
CHACHAPOYAS,-6.2293182,-77.8714631
CHANCHAMAYO,-11.0147253,-75.0892243
CHEPEN,-7.1070009,-79.4813972
CHICLAYO,-6.7714,-79.8409
CHINCHA,-13.2964812,-75.9526863
CHOTA,-6.509064,-78.8413275
CHUCUITO,-16.6336027,-69.3018083
CHUMBIVILCAS,-14.4174733,-72.0000172
CHUPACA,-12.1821023,-75.3934183
CONCEPCION,-11.7439496,-75.1002502
CONTRALMIRANTE VILLAR,-3.9986301,-80.707428
CORONEL PORTILLO,-8.6867272,-73.9320879
CUSCO,-13.5319,-71.9675
CUTERVO,-6.2020093,-78.789661
DE LA MAR,-13.0223893,-73.7770281
DOS DE MAYO,-9.6620786,-76.7242508
EL COLLAO,-16.7589076,-69.8233346
ESPINAR,-14.8105832,-71.2832861
FERRENAFE,-6.6392169,-79.7879824
HUACHO,-11.108524,-77.6103295
HUALGAYOC,-6.7087189,-78.5314589
HUAMANGA,-13.2402574,-74.2128271
HUANCABAMBA,-5.4220777,-79.517415
HUANCANE,-15.0937543,-69.5709734
HUANCAVELICA,-13.0,-75.0
HUANCAYO,-12.0651,-75.2049
HUANTA,-12.5563049,-74.1215201
HUANUCO,-9.93,-76.2422
HUARAL,-11.25,-76.916667
HUARAZ,-9.5298511,-77.5289981
HUARI,-9.4081948,-77.1340513
HUARMEY,-10.0643674,-77.9718798
HUAROCHIRI,-11.916667,-76.416667
HUAURA,-11.0512402,-77.3218207
HUAYLAS,-8.9187868,-77.8290629
ICA,-14.0678,-75.7286
ILO,-17.5833671,-71.2358866
ISLAY,-16.9592838,-71.7426958
JAEN,-5.6847565,-79.0621897
JAUJA,-11.685762,-75.4142351
JORGE BASADRE,-17.6146858,-70.7232052
LA CONVENCION,-12.2148388,-73.0109863
LAMBAYEQUE,-6.333333,-80.0
LEONCIO PRADO,-9.0961609,-76.0123596
LIMA,-12.0464,-77.0428
MARISCAL CACERES,-7.2016061,-77.2077437
MARISCAL NIETO,-16.954594,-70.7307347
MAYNAS,-3.0,-73.666667
MELGAR,-14.6676462,-70.684082
MOQUEGUA,-17.1935,-70.934
MORROPON,-5.25,-80.0
MOYOBAMBA,-6.0347302,-76.9746773
NAZCA,-14.8277203,-74.9370624
OTUZCO,-7.8414958,-78.5256548
OXAPAMPA,-10.333333,-75.083333
PACASMAYO,-7.4256489,-79.4339502
PACHITEA,-10.0376048,-75.823665
PADRE ABAD,-8.8077049,-75.38619
PAITA,-5.0851637,-81.1136793
PASCO,-10.5,-75.25
PATAZ,-8.2024294,-77.3141069
PAUCARA,-12.7270517,-74.7150305
PAUCARTAMBO,-13.2000945,-71.5539961
PISCO,-13.7099813,-76.2029793
PIURA,-5.1945,-80.6328
PUNO,-15.8402,-70.0219
QUISPICANCHI,-13.5235081,-70.9725342
RECUAY,-9.9526616,-77.4098005
RIOJA,-5.8797993,-77.4276533
S/I,-12.094241,-77.037869
SAN IGNACIO,-5.1243684,-78.8956299
SAN MARCOS,-7.2634651,-78.0624572
SAN MARTIN,-7.0,-76.833333
SAN MIGUEL,-12.0691658,-77.0799348
SAN PABLO,-7.0918959,-78.740251
SAN ROMAN,-15.776514,-70.5027466
SANCHEZ CARRION,-7.7989796,-77.894351
SANTA,-12.0499601,-77.0291376
SANTA CRUZ,-6.6942323,-78.9752808
SANTIAGO DE CHUCO,-8.1566505,-78.1071777
SATIPO,-11.5538237,-74.1181641
SECHURA,-5.8635862,-80.6439719
SIHUAS,-8.4877759,-77.5569916
SULLANA,-4.5684496,-80.6446943
TACNA,-18.0066,-70.2463
TALARA,-4.5111366,-81.0984392
TAMBOPATA,-12.2436946,-69.6703444
TARMA,-11.2518076,-75.6947021
TAYACAJA,-12.25,-74.75
TOCACHE,-8.2211777,-76.7026341
TRUJILLO,-8.111,-79.0288
TUMBES,-3.5669,-80.4515
URUBAMBA,-13.2292798,-72.2646684
UTCUBAMBA,-5.7629526,-78.3079921
VIRU,-8.5323927,-78.5670295
YAULI,-11.5348337,-76.0705366
YUNGAY,-9.1513178,-77.6812099
YUNGUYO,-16.2959126,-69.095994
